Time,Extension,Load
(sec),(mm),(N)
79.60001,-8.63891,-41.02420
79.70001,-8.64851,-41.10265
79.80000,-8.65865,-41.17598
79.90000,-8.66878,-41.27495
80.00000,-8.67851,-41.34938
80.10001,-8.68891,-41.44079
80.20001,-8.69891,-41.52619
80.30000,-8.70851,-41.60276
80.40000,-8.71891,-41.69559
80.50001,-8.72878,-41.78360
80.60001,-8.73878,-41.85579
80.70001,-8.74891,-41.94654
80.80000,-8.75865,-42.02368
80.90000,-8.76865,-42.11138
81.00001,-8.77865,-42.18758
81.10001,-8.78851,-42.27384
81.20001,-8.79851,-42.35773
81.30000,-8.80851,-42.43993
